Categoria,Par,Correlacion
Lat Proxi NMI,Amp Dist NMI,-0.4645677111404
Amp Dist NMI,Lat Proxi NMI,-0.4645677111404
Lat Distal NMI,Amp Dist NMI,-0.4644093794131338
Amp Proxi NMI,Lat Proxi NMI,-0.4509519920280024
VNC NMI,Lat Proxi NMI,-0.4329381969204603
Lat Distal NMD,Amp Dist NMD,-0.40783891749765355
Amp Dist NMD,Lat Distal NMD,-0.40783891749765355
Amplitud sensory NMI,Lat Distal NMI,-0.3864860156539
Lat Proxi NMD,Amp Dist NMD,-0.3766335439011481
Amplitud sensory NMD,Lat Proxi NMD,-0.3721269032491292
Lat Proxi NUI,VNC NUI,-0.36613592168905423
VNC NUI,Lat Proxi NUI,-0.36613592168905423
Lat Proxi NUD,VNC NUD,-0.34916707155470134
VNC NUD,Lat Proxi NUD,-0.34916707155470134
Latencia pico NMI,Amplitud sensory NMI,-0.3420289191545723
Lat Distal NUD,VNC NUI,-0.32724625910041494
Lat Distal NUI,VNC NUD,-0.31354370122490205
VNC NMD,Lat Proxi NMD,-0.3032702865005548
Amp Proxi NMD,Lat Proxi NMI,-0.26051790991341534
Amplitud sensory NUD,Lat Proxi NUI,-0.2257489745811045
Latencia pico NMD,Amplitud sensory NMD,-0.22404364360002443
Latencia pico NUI,VNC NUI,-0.22050426276090124
Amp Proxi NUD,Lat Proxi NUD,-0.16969711982399288
Amplitud sensory NUI,Lat Proxi NUI,-0.16742532509671804
Amp Dist NUD,Lat Proxi NUD,-0.14901421273963184
Amp Dist NUI,Lat Proxi NUI,-0.13195101866001857
Latencia pico NUD,Amplitud sensory NUD,-0.10326191203116605
Amp Proxi NUI,Lat Proxi NUD,-0.07988690880316719
